yyyy,mm,maxC,minC
1952,7,21.9,14.2
1952,8,21.1,14.1
1952,9,15.9,9.7
1952,10,13.1,7.8
1952,11,7.2,3.4
1952,12,5.7,1.8
1953,1,4.8,1.8
1953,2,6.5,2.2
1953,3,8.6,2.3
1953,4,11.3,5.4
1953,5,15.2,7.9
1953,6,19.9,10.8
1953,7,20.5,12.6
1953,8,20.8,12.6
1953,9,20,12.8
1953,10,15.3,8.5
1953,11,9.8,4.9
1953,12,7.1,1.5
1961,1,6.6,1.5
1961,2,9.8,4
1961,3,12.9,3.8
1961,4,14.1,7
1961,5,15.2,7.9
1961,6,19.9,10.8
1961,7,20.5,12.6
1961,8,20.8,12.6
1961,9,20,12.8
1961,10,15.3,8.5
1961,11,9.8,4.9
1961,12,7.1,1.5
1962,1,7.9,1.7
1962,2,7,1.4
1962,3,6.4,0.1
1962,4,11,4.3
1962,5,14.1,6.6
1962,6,18.3,9.2
1962,7,18.9,11.9
1962,8,19.5,11.7
1962,9,17.5,10.2
1962,10,15.3,8.4
1962,11,8.7,4
1962,12,5.5,-0.4
1963,1,0.2,-3.5
1963,2,1.2,-3
1963,3,9.6,2.4
1963,4,11.8,4.6
1963,5,14.5,6.6
1963,6,17.9,10.6
1963,7,19.4,12
1963,8,19.2,11.2
1963,9,17.4,10.4
1963,10,14,7.6
1963,11,11.7,6.1
1963,12,5.1,0.3
1964,1,4.9,0.1
1964,2,6.9,2
1964,3,6.5,1.8
1964,4,12.4,5
1964,5,18.1,8.8
1964,6,18.7,10.5
1964,7,21.3,12.7
1964,8,21,12.8
1964,9,19.9,11
1964,10,12.8,5.9
1964,11,11,5
1964,12,6.9,1.5
1965,1,6.2,1.3
1965,2,5,1.1
1965,3,8.9,1.8
1965,4,11.5,4.3
1965,5,15.5,8
1965,6,17.8,9.9
1965,7,18.2,11.2
1965,8,19.8,11.8
1965,9,17.1,9
1965,10,15.3,8.7
1965,11,8.5,3
1965,12,8.2,1.6
1966,1,5,0.2
1966,2,8.9,3.8
1966,3,10,2.8
1966,4,11.4,4.8
