yyyy,mm,maxC,minC
1898,1,9.3,3
1898,2,7.5,0.3
1898,3,8,0.1
1898,4,12.1,3.3
1898,5,12.9,4.1
1898,6,17.6,7.9
1898,7,20,8.9
1898,8,20.5,10.4
1898,9,19.3,9.8
1898,10,14.2,7.5
1898,11,9.4,2.9
1898,12,9.6,2.9
1899,1,6.3,0.6
1899,2,7.3,-0.5
1899,3,9.2,0.2
1899,4,11.3,2.6
1899,5,12.4,4.2
1899,6,20.5,8.2
1899,7,21.5,11.7
1899,8,21.3,11
1899,9,17.3,8.1
1899,10,13,3.8
1899,11,11.5,4.3
1899,12,3.6,-1.7
1900,1,5.7,0.4
1900,2,3.6,-2.3
1900,3,5.7,-0.1
1900,4,12.4,2.7
1900,5,13.2,5
1900,6,18.1,8.8
1900,7,21.1,12.3
1900,8,17.6,9.9
1900,9,17.3,8.4
1900,10,12.4,4.6
1900,11,8.6,3.9
1900,12,8.9,4
1901,1,5,-0.4
1901,2,4.5,-0.5
1901,3,7,0.4
1901,4,12.4,2.6
1901,5,14.7,5
1901,6,17.8,7.6
1901,7,22.4,12
1901,8,20.2,10.5
1901,9,16.5,9.4
1901,10,12.4,4.5
1901,11,8.3,2
1901,12,5,0.2
1902,1,6.6,1.4
1902,2,3.3,-2.1
1902,3,9.5,1.7
1902,4,10.8,2
1902,5,11,3.7
1902,6,15.6,7.5
1902,7,17.6,9
1902,8,16.4,8.4
1902,9,15.9,8.2
1902,10,11.8,5.9
1902,11,8.9,3.9
1902,12,6.9,2
1903,1,5.3,-0.2
1903,2,9,2.9
1903,3,9.3,2.2
1903,4,9.2,0.6
1903,5,12.8,5.1
1903,6,15.4,7.2
1903,7,18,10.1
1903,8,17.2,9.1
1903,9,15.4,7.9
1903,10,11.9,6.1
1903,11,8.4,2.2
1903,12,4.4,0.3
1904,1,6,0.9
1904,2,4.7,-0.1
1904,3,6.6,0.4
1904,4,12.1,4
1904,5,13.3,5.4
1904,6,16.5,8.4
1904,7,19.5,11
1904,8,18.4,9.9
1904,9,16.2,7.4
1904,10,12.7,4.9
1904,11,8.3,2.1
1904,12,5.8,-0.2
1905,1,6.6,1.2
1905,2,7.4,1.4
1905,3,10.2,2.2
1905,4,9.7,2.2
1905,5,13.8,5
1905,6,17.9,8.8
1905,7,21.7,11.4
1905,8,17.6,9.9
1905,9,15.4,8.1
1905,10,10.4,3.2
1905,11,7.1,1.9
1905,12,7.5,2.8
1906,1,6.9,2.1
1906,2,5.4,-0.9
1906,3,7.6,0.8
1906,4,11.6,0.2
1906,5,12.6,5.6
1906,6,18.1,8.8
1906,7,19.7,9.7
1906,8,20.1,11.1
1906,9,17.5,8
1906,10,12.8,6.5
1906,11,9.7,4.6
1906,12,5.1,-0.1
1907,1,5.8,0.5
1907,2,5.9,-0.7
1907,3,10.6,0.6
1907,4,10.7,2.9
1907,5,12.1,5.2
1907,6,15.2,7.7
1907,7,16.9,8.7
1907,8,17.3,9.2
1907,9,17.4,7.2
1907,10,12.5,5.6
1907,11,8.5,2.5
1907,12,6.4,1.2
1908,1,5.1,-0.7
1908,2,8.1,1.4
1908,3,6.5,0.3
1908,4,8.4,1.6
1908,5,15.6,6.9
1908,6,17.5,7.9
1908,7,19,10.2
1908,8,17.4,9.2
1908,9,16.3,9
1908,10,15.1,7.7
1908,11,9.4,2.7
1908,12,5.3,-0.1
1909,1,5.6,-0.3
1909,2,5.6,-0.6
1909,3,5.6,-0.2
1909,4,13.1,2.6
1909,5,14.7,4.5
1909,6,15.2,6.6
1909,7,18,10
1909,8,19.2,10.3
1909,9,14.1,7.3
1909,10,12.5,5.5
1909,11,7.6,1.4
1909,12,5.3,0.4
1910,1,5.5,-0.3
1910,2,6.3,0.7
1910,3,9.6,2
1910,4,10,2
1910,5,13.3,5.1
1910,6,17.8,8.5
1910,7,17,9.5
1910,8,18.4,10.7
1910,9,15.6,7.3
1910,10,13,7.1
1910,11,5.4,-0.4
1910,12,7.9,3.1
1911,1,6.4,0.6
1911,2,7.4,1.1
1911,3,6.5,1.5
1911,4,9.9,3.4
1911,5,16,6.8
1911,6,18.2,7.7
1911,7,22.2,10.3
1911,8,20.6,11.7
1911,9,17.4,7.5
1911,10,11.2,5
1911,11,8,2.5
1911,12,7.5,2.3
1912,1,4.9,-0.2
1912,2,6.5,1
1912,3,9.4,3.1
1912,4,12.5,2.5
1912,5,14.5,5.7
1912,6,16.1,8.8
1912,7,17.2,10.4
1912,8,15.4,8.1
1912,9,13.9,6.5
1912,10,11.6,3.8
1912,11,8.4,2.7
1912,12,8.1,1.8
1913,1,4.8,0.1
1913,2,7.3,0.8
1913,3,8.1,1.2
1913,4,10.1,3.4
1913,5,13.7,5.9
1913,6,17.6,8.5
1913,7,17.2,9.5
1913,8,18.9,9.1
1913,9,16.9,9.4
1913,10,12.6,6.5
