yyyy,mm,maxC,minC
2013,12,10.8,4.8
2014,1,10.4,5
2014,2,10.5,5.2
2014,3,12.5,4.7
2014,4,14.7,7.1
2014,5,15.4,9.8
2014,6,20.2,12.5
2014,7,22.3,15.2
2014,8,20.5,13.7
2014,9,20.6,13.1
2014,10,17.6,11.2
2014,11,13.1,8.9
2014,12,9.5,3.9
2015,1,9.1,3.5
2015,2,8.6,2.2
2015,3,10.8,5.1
2015,4,14.4,6
2015,5,15.3,9.3
2015,6,19.6,11.5
2015,7,20.5,14.2
2015,8,21,14.7
2015,9,18.2,10.3
2015,10,15.5,9.4
2015,11,13.8,9.1
2015,12,13.5,9.9
2016,1,9.9,4.5
2016,2,9.8,3.9
2016,3,10.6,3.9
2016,4,12.7,5.8
2016,5,17,10
2016,6,19.1,12.9
2016,7,21.2,14.9
2016,8,21.9,14.7
2016,9,21.3,14.2
2016,10,16.2,9.1
2016,11,11.9,4.9
2016,12,10.9,5.1
2017,1,7.8,1.1
2017,2,9.6,4.8
2017,3,13,6.6
2017,4,14.5,5.7
2017,5,17.4,10.2
2017,6,20.6,13.4
2017,7,21.9,15.3
2017,8,21.4,13.5
2017,9,18.9,11.4
2017,10,16.3,10.2
2017,11,11.4,5.7
2017,12,9.0,3.4
2018,1,9.6,5.0
2018,2,6.6,1.1
2018,3,8.5,3.8
2018,4,13.7,8.1
2018,5,18.3,10.2
2018,6,20.1,12.7
2018,7,24.6,15.8
2018,8,21.1,14.6
2018,9,18.5,11.8
